Name,URL,Range,Latest
Ascendance of a Bookworm - Extra Story,https://ncode.syosetu.com/n4750dy/,3,28
I’ll Become a Villainess That Will Go Down in History,https://ncode.syosetu.com/n4006fe/,10,502
Ascendance of a Bookworm - Extra Story2,https://ncode.syosetu.com/n4750dy/,5,39
I Said Make My Abilities Average!,https://ncode.syosetu.com/n6475db,10,687
Princess Knight is My Classmate!,https://novel18.syosetu.com/n0153ce/,10,86
Reincarnation in Another World - World Conquest Begins with Female Slave Training,https://novel18.syosetu.com/n2565ey/,10,323
"Saving 80,000 Gold in an Another World for Retirement",https://ncode.syosetu.com/n5529cy/,10,455
Silent Witch,https://ncode.syosetu.com/n8356ga/,10,236
The Strongest Onmyoji's Reincarnation in Another World,https://ncode.syosetu.com/n1290ff/,10,238
